position,latitude,longitude,linesag,linesway,contact,strike,status
0,37.41505,-122.20565,18.0,0.0,0.05,0.0,OK
30,37.41501,-122.20599,15.0,0.3,0.09,0.0,OK
60,37.41497,-122.20632,14.0,0.6,0.14,0.0,OK
90,37.41493,-122.20666,12.9,0.7,0.12,0.0,OK
120,37.41488,-122.20699,12.9,0.8,0.07,0.0,OK
150,37.41484,-122.20733,13.8,0.8,0.04,0.0,OK
180,37.4148,-122.20766,15.6,0.7,0.01,0.0,OK
210,37.41476,-122.208,17.6,0.5,0.0,0.0,OK
240,37.41472,-122.20834,19.5,0.2,0.0,0.0,OK
254,37.4147,-122.20849,20.0,0.0,0.0,0.0,OK
284,37.41466,-122.20883,16.4,0.2,0.0,0.0,OK
314,37.41461,-122.20916,20.9,0.4,0.0,0.0,OK
344,37.41457,-122.2095,23.5,0.4,0.0,0.0,OK
374,37.41453,-122.20983,21.2,0.4,0.0,0.0,OK
404,37.41449,-122.21017,18.1,0.2,0.0,0.0,OK
428,37.41445,-122.21044,21.0,0.0,0.0,0.0,OK
458,37.41441,-122.21078,17.7,0.2,0.0,0.0,OK
488,37.41437,-122.21111,13.6,0.4,0.0,0.0,OK
518,37.41433,-122.21145,10.5,0.4,0.0,0.0,OK
548,37.41428,-122.21178,11.6,0.3,0.0,0.0,OK
578,37.41424,-122.21212,15.8,0.1,0.0,0.0,OK
595,37.41422,-122.21231,18.0,0.0,0.0,0.0,OK
625,37.41418,-122.21265,15.6,0.2,0.03,0.0,OK
655,37.41414,-122.21298,13.3,0.4,0.11,0.0,OK
685,37.4141,-122.21332,13.1,0.4,0.09,0.0,OK
715,37.41406,-122.21365,13.1,0.4,0.09,0.0,OK
745,37.41401,-122.21399,16.1,0.2,0.08,0.0,OK
771,37.41398,-122.21427,20.0,0.0,0.06,0.0,OK
801,37.41394,-122.21461,17.6,0.3,0.09,0.0,OK
831,37.4139,-122.21494,16.3,0.5,0.1,0.0,OK
861,37.41386,-122.21528,16.0,0.6,0.04,0.0,OK
891,37.41382,-122.21561,15.8,0.5,0.01,0.0,OK
921,37.41378,-122.21595,17.6,0.4,0.0,0.0,OK
951,37.41373,-122.21628,17.4,0.2,0.0,0.0,OK
976,37.4137,-122.21657,18.0,0.0,0.0,0.0,OK
1006,37.41366,-122.21691,14.4,0.2,0.0,0.0,OK
1036,37.41361,-122.21724,14.1,0.3,0.0,0.0,OK
1066,37.41357,-122.21758,15.9,0.3,0.0,0.0,OK
1096,37.41353,-122.21791,17.9,0.2,0.01,0.0,OK
1126,37.41348,-122.21825,21.0,0.0,0.02,0.0,OK
1128,37.41348,-122.21827,21.0,0.0,0.02,0.0,OK
1158,37.41344,-122.21861,20.7,0.3,0.03,0.0,OK
1188,37.4134,-122.21894,17.4,0.4,0.05,0.0,OK
1218,37.41336,-122.21928,15.3,0.5,0.08,0.0,OK
1248,37.41332,-122.21961,14.1,0.5,0.11,0.002,OK
1278,37.41327,-122.21995,13.1,0.4,0.13,0.131,FAILED
1308,37.41323,-122.22028,15.1,0.2,0.11,0.018,OK
1326,37.41321,-122.22048,18.0,0.0,0.09,0.0,OK
1356,37.41317,-122.22082,12.1,0.2,0.12,0.034,OK
1386,37.41313,-122.22115,11.4,0.4,0.14,0.036,OK
1416,37.41308,-122.22149,13.7,0.4,0.13,0.004,OK
1446,37.41304,-122.22182,14.2,0.3,0.09,0.0,OK
1476,37.413,-122.22216,14.9,0.1,0.09,0.0,OK
1490,37.41298,-122.22232,16.0,0.0,0.05,0.0,OK
